ACT_ID	CIDX	AIDX	RIDX	TYPE	RELATION	VALUE	UPPER_VALUE	UNITS	TEXT_VALUE	ACTIVITY_COMMENT	CRIDX
ACT_INH_0221	DOM_SIM_221	1_LEY	LEY_VERO	inhibition	=	-0.38		%			LEY_VERO
ACT_INH_0222	DOM_SIM_222	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0223	DOM_SIM_223	1_LEY	LEY_VERO	inhibition	=	0.17		%			LEY_VERO
ACT_INH_0224	DOM_SIM_224	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
ACT_INH_0225	DOM_SIM_225	1_LEY	LEY_VERO	inhibition	=	-0.23		%			LEY_VERO
ACT_INH_0226	DOM_SIM_226	1_LEY	LEY_VERO	inhibition	=	0.12		%			LEY_VERO
ACT_INH_0227	DOM_SIM_227	1_LEY	LEY_VERO	inhibition	=	0.06		%			LEY_VERO
ACT_INH_0228	DOM_SIM_228	1_LEY	LEY_VERO	inhibition	=	0.07		%			LEY_VERO
ACT_INH_0229	DOM_SIM_229	1_LEY	LEY_VERO	inhibition	=	0.78		%			LEY_VERO
ACT_INH_0230	DOM_SIM_230	1_LEY	LEY_VERO	inhibition	=	0.1		%			LEY_VERO
ACT_INH_0231	DOM_SIM_231	1_LEY	LEY_VERO	inhibition	=	0.39		%			LEY_VERO
ACT_INH_0232	DOM_SIM_232	1_LEY	LEY_VERO	inhibition	=	-0.09		%			LEY_VERO
ACT_INH_0233	DOM_SIM_233	1_LEY	LEY_VERO	inhibition	=	-0.08		%			LEY_VERO
ACT_INH_0234	DOM_SIM_234	1_LEY	LEY_VERO	inhibition	=	-0.12		%			LEY_VERO
ACT_INH_0235	DOM_SIM_235	1_LEY	LEY_VERO	inhibition	=	0.07		%			LEY_VERO
ACT_INH_0236	DOM_SIM_236	1_LEY	LEY_VERO	inhibition	=	0.05		%			LEY_VERO
ACT_INH_0237	DOM_SIM_237	1_LEY	LEY_VERO	inhibition	=	0.36		%			LEY_VERO
ACT_INH_0238	DOM_SIM_238	1_LEY	LEY_VERO	inhibition	=	0.08		%			LEY_VERO
ACT_INH_0239	DOM_SIM_239	1_LEY	LEY_VERO	inhibition	=	-0.01		%			LEY_VERO
ACT_INH_0240	DOM_SIM_240	1_LEY	LEY_VERO	inhibition	=	-0.09		%			LEY_VERO
ACT_INH_0241	DOM_SIM_241	1_LEY	LEY_VERO	inhibition	=	0.52		%			LEY_VERO
ACT_INH_0242	DOM_SIM_242	1_LEY	LEY_VERO	inhibition	=	-0.15		%			LEY_VERO
ACT_INH_0243	DOM_SIM_243	1_LEY	LEY_VERO	inhibition	=	-0.15		%			LEY_VERO
