COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1005469	1005451	=	397	uL/min/mg	SCYNEXIS
DNDI1005470	1004728	=	16.29	ug/ml	SCYNEXIS
DNDI1005470	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005470	1005451	=	209	uL/min/mg	SCYNEXIS
DNDI1005470	1005454	=	4	Min	SCYNEXIS
DNDI1005471	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005471	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005473	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005473	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005475	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005475	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005476	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005476	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005476	1005759	=	42.09	ug/ml	SCYNEXIS
DNDI1005477	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005477	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005477	1005759	=	28.73	ug/ml	SCYNEXIS
DNDI1005478	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005478	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005479	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005479	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005479	1005759	=	43.77	ug/ml	SCYNEXIS
DNDI1005480	1005759	=	26.64	ug/ml	SCYNEXIS
DNDI1005480	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005480	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005481	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005481	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005482	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005482	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005483	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005483	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005484	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005484	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005485	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005485	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005486	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005486	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005487	1004728	>	50	ug/ml	SCYNEXIS
DNDI1005487	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005829	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005829	1005759	>	10	ug/ml	SCYNEXIS
DNDI1005849	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005849	1005759	>	10	ug/ml	SCYNEXIS
DNDI1005850	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005850	1005759	>	10	ug/ml	SCYNEXIS
DNDI1005851	1000986	>	5	ug/ml	SCYNEXIS
DNDI1005851	1005759	>	10	ug/ml	SCYNEXIS
DNDI1007360	1005759	>	10	ug/ml	SCYNEXIS
